Study,Time,DV,Arm,Dose,DV_CHR,Type_DV,Type_VAR,VAR,LVAR,UVAR,Route,Drug,Dose_freq,Unit_time,Unit_DV,Unit_dose,Source,Figure,Legend
,4.6,18.66125795,,,,,,,,,,,,,,,,,
,4.7,63.29996566,,,,,,,,,,,,,,,,,
,4.7,46.78622408,,,,,,,,,,,,,,,,,
,4.7,18.66125795,,,,,,,,,,,,,,,,,
,4.8,63.29996566,,,,,,,,,,,,,,,,,
,4.8,46.78622408,,,,,,,,,,,,,,,,,
,4.8,18.66125795,,,,,,,,,,,,,,,,,
,4.9,63.29996566,,,,,,,,,,,,,,,,,
,4.9,46.91523769,,,,,,,,,,,,,,,,,
,4.9,18.66125795,,,,,,,,,,,,,,,,,
,5,63.29996566,,,,,,,,,,,,,,,,,
,5,47.04425129,,,,,,,,,,,,,,,,,
,5,18.66125795,,,,,,,,,,,,,,,,,
,5.1,63.55799287,,,,,,,,,,,,,,,,,
,5.1,47.04425129,,,,,,,,,,,,,,,,,
,5.1,18.66125795,,,,,,,,,,,,,,,,,
,5.1,10.40438717,,,,,,,,,,,,,,,,,
,5.2,63.55799287,,,,,,,,,,,,,,,,,
,5.2,47.04425129,,,,,,,,,,,,,,,,,
,5.2,18.79027156,,,,,,,,,,,,,,,,,
,5.2,10.27537356,,,,,,,,,,,,,,,,,
,5.3,47.3022785,,,,,,,,,,,,,,,,,
,5.3,18.79027156,,,,,,,,,,,,,,,,,
,5.3,10.27537356,,,,,,,,,,,,,,,,,
,5.4,47.43129211,,,,,,,,,,,,,,,,,
,5.4,18.91928517,,,,,,,,,,,,,,,,,
,5.4,10.27537356,,,,,,,,,,,,,,,,,
,5.5,47.43129211,,,,,,,,,,,,,,,,,
,5.5,18.91928517,,,,,,,,,,,,,,,,,
,5.5,10.27537356,,,,,,,,,,,,,,,,,
,5.6,47.81833293,,,,,,,,,,,,,,,,,
,5.6,19.04829877,,,,,,,,,,,,,,,,,
,5.6,10.27537356,,,,,,,,,,,,,,,,,
,5.7,47.94734653,,,,,,,,,,,,,,,,,
,5.7,19.04829877,,,,,,,,,,,,,,,,,
,5.7,10.27537356,,,,,,,,,,,,,,,,,
,5.8,47.94734653,,,,,,,,,,,,,,,,,
,5.8,19.04829877,,,,,,,,,,,,,,,,,
,5.8,10.40438717,,,,,,,,,,,,,,,,,
,5.9,48.20537375,,,,,,,,,,,,,,,,,
,5.9,19.30632598,,,,,,,,,,,,,,,,,
,6,48.72142817,,,,,,,,,,,,,,,,,
,6,19.30632598,,,,,,,,,,,,,,,,,
,6.1,65.23516975,,,,,,,,,,,,,,,,,
,6.1,48.97945538,,,,,,,,,,,,,,,,,
,6.1,19.30632598,,,,,,,,,,,,,,,,,
,6.2,65.36418335,,,,,,,,,,,,,,,,,
,6.2,48.97945538,,,,,,,,,,,,,,,,,
,6.2,19.5643532,,,,,,,,,,,,,,,,,
,6.3,65.62221057,,,,,,,,,,,,,,,,,
,6.3,49.3664962,,,,,,,,,,,,,,,,,
,6.3,19.5643532,,,,,,,,,,,,,,,,,
,6.4,65.62221057,,,,,,,,,,,,,,,,,
,6.4,49.62452341,,,,,,,,,,,,,,,,,
,6.4,19.6933668,,,,,,,,,,,,,,,,,
,6.5,65.88023778,,,,,,,,,,,,,,,,,
,6.5,49.62452341,,,,,,,,,,,,,,,,,
,6.5,19.6933668,,,,,,,,,,,,,,,,,
,6.6,66.00925139,,,,,,,,,,,,,,,,,
